"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 21 12:37:10 GMT 2024","Tue May 21 12:37:14 GMT 2024","3096","","","","CheckboxListTests","Checkbox_SelectByIndex","Checkbox_SelectByIndex","Check positive scenarios for 'Checkbox List' methods"
"passed","Tue May 21 12:37:10 GMT 2024","Tue May 21 12:37:16 GMT 2024","5829","","","","ProjectTests","AddProjectWithNameAndType","AddProjectWithNameAndType","Verifying a project with name and type has been added"
"passed","Tue May 21 12:37:16 GMT 2024","Tue May 21 12:37:18 GMT 2024","2074","","","","LoginTests","LoginWithWrongUserNameAndPassword","LoginWithWrongUserNameAndPassword","Check the error messages if username and password are incorrect"
"passed","Tue May 21 12:37:14 GMT 2024","Tue May 21 12:37:16 GMT 2024","2070","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Tue May 21 12:37:17 GMT 2024","Tue May 21 12:37:20 GMT 2024","3796","","","","LoginTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"passed","Tue May 21 12:37:14 GMT 2024","Tue May 21 12:37:24 GMT 2024","10010","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"passed","Tue May 21 12:37:16 GMT 2024","Tue May 21 12:37:18 GMT 2024","2155","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"broken","Tue May 21 12:37:10 GMT 2024","Tue May 21 12:37:14 GMT 2024","3099","","","","CheckboxListTests","Checkbox_Negative","Checkbox_Negative","Check the correct operation of 'if-else' structures in 'Checkbox List' methods"
"passed","Tue May 21 12:37:10 GMT 2024","Tue May 21 12:37:17 GMT 2024","6232","","","","ProjectTests","AddProjectWithModel","AddProjectWithModel","Verifying a project with model data has been added"
"passed","Tue May 21 12:37:24 GMT 2024","Tue May 21 12:37:26 GMT 2024","2669","","","","HelperTests","DeleteAllMyProjects","DeleteAllMyProjects","Used to delete all my projects"
