"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 16:07:01 GMT 2024","Mon May 13 16:07:05 GMT 2024","4475","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Mon May 13 16:07:05 GMT 2024","Mon May 13 16:07:09 GMT 2024","3573","","","","CheckboxListTests","Checkbox_SelectByIndex","Checkbox_SelectByIndex","Check positive scenarios for 'Checkbox List' methods"
"broken","Mon May 13 16:07:01 GMT 2024","Mon May 13 16:07:06 GMT 2024","4929","","","","CheckboxListTests","Checkbox_Negative","Checkbox_Negative","Check the correct operation of 'if-else' structures in 'Checkbox List' methods"
"passed","Mon May 13 16:07:06 GMT 2024","Mon May 13 16:07:09 GMT 2024","2935","","","","LoginTests","LoginWithWrongUserNameAndPassword","LoginWithWrongUserNameAndPassword","Check the error messages if username and password are incorrect"
"passed","Mon May 13 16:07:01 GMT 2024","Mon May 13 16:07:05 GMT 2024","4549","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"passed","Mon May 13 16:07:05 GMT 2024","Mon May 13 16:07:11 GMT 2024","5430","","","","ProjectTests","AddProjectWithNameAndType","AddProjectWithNameAndType","Verifying a project with name and type has been added"
"passed","Mon May 13 16:07:01 GMT 2024","Mon May 13 16:07:08 GMT 2024","7353","","","","ProjectTests","AddProjectWithModel","AddProjectWithModel","Verifying a project with model data has been added"
"passed","Mon May 13 16:07:09 GMT 2024","Mon May 13 16:07:12 GMT 2024","3395","","","","LoginTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"passed","Mon May 13 16:07:08 GMT 2024","Mon May 13 16:07:19 GMT 2024","10785","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"passed","Mon May 13 16:07:19 GMT 2024","Mon May 13 16:07:24 GMT 2024","4683","","","","HelperTests","DeleteAllMyProjects","DeleteAllMyProjects","Used to delete all my projects"
