"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 19 00:46:31 GMT 2024","Sun May 19 00:46:36 GMT 2024","4738","","","","ProjectTests","AddProjectWithNameAndType","AddProjectWithNameAndType","Verifying a project with name and type has been added"
"passed","Sun May 19 00:45:47 GMT 2024","Sun May 19 00:46:31 GMT 2024","44135","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"passed","Sun May 19 00:46:31 GMT 2024","Sun May 19 00:46:36 GMT 2024","5165","","","","ProjectTests","AddProjectWithModel","AddProjectWithModel","Verifying a project with model data has been added"
"passed","Sun May 19 00:45:47 GMT 2024","Sun May 19 00:46:31 GMT 2024","43960","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Sun May 19 00:46:31 GMT 2024","Sun May 19 00:46:41 GMT 2024","10389","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"passed","Sun May 19 00:46:41 GMT 2024","Sun May 19 00:46:44 GMT 2024","2505","","","","HelperTests","DeleteAllMyProjects","DeleteAllMyProjects","Used to delete all my projects"
"broken","Sun May 19 00:46:33 GMT 2024","Sun May 19 00:46:34 GMT 2024","1621","","","","CheckboxListTests","Checkbox_Negative","Checkbox_Negative","Check the correct operation of 'if-else' structures in 'Checkbox List' methods"
"passed","Sun May 19 00:45:47 GMT 2024","Sun May 19 00:46:31 GMT 2024","44194","","","","LoginTests","LoginWithWrongUserNameAndPassword","LoginWithWrongUserNameAndPassword","Check the error messages if username and password are incorrect"
"passed","Sun May 19 00:45:47 GMT 2024","Sun May 19 00:46:33 GMT 2024","45691","","","","LoginTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"passed","Sun May 19 00:46:34 GMT 2024","Sun May 19 00:46:36 GMT 2024","1914","","","","CheckboxListTests","Checkbox_SelectByIndex","Checkbox_SelectByIndex","Check positive scenarios for 'Checkbox List' methods"
