"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 15:54:31 GMT 2024","Mon May 13 15:54:33 GMT 2024","2027","","","","LoginTests","LoginWithWrongUserNameAndPassword","LoginWithWrongUserNameAndPassword","Check the error messages if username and password are incorrect"
"passed","Mon May 13 15:54:34 GMT 2024","Mon May 13 15:54:35 GMT 2024","1728","","","","CheckboxListTests","Checkbox_SelectByIndex","Checkbox_SelectByIndex","Check positive scenarios for 'Checkbox List' methods"
"passed","Mon May 13 15:54:22 GMT 2024","Mon May 13 15:54:34 GMT 2024","11601","","","","ProjectTests","AddProjectWithNameAndType","AddProjectWithNameAndType","Verifying a project with name and type has been added"
"passed","Mon May 13 15:54:41 GMT 2024","Mon May 13 15:54:43 GMT 2024","2465","","","","HelperTests","DeleteAllMyProjects","DeleteAllMyProjects","Used to delete all my projects"
"passed","Mon May 13 15:54:22 GMT 2024","Mon May 13 15:54:31 GMT 2024","8618","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Mon May 13 15:54:22 GMT 2024","Mon May 13 15:54:33 GMT 2024","11528","","","","ProjectTests","AddProjectWithModel","AddProjectWithModel","Verifying a project with model data has been added"
"passed","Mon May 13 15:54:33 GMT 2024","Mon May 13 15:54:35 GMT 2024","2760","","","","LoginTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"passed","Mon May 13 15:54:22 GMT 2024","Mon May 13 15:54:31 GMT 2024","8649","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"broken","Mon May 13 15:54:33 GMT 2024","Mon May 13 15:54:35 GMT 2024","1873","","","","CheckboxListTests","Checkbox_Negative","Checkbox_Negative","Check the correct operation of 'if-else' structures in 'Checkbox List' methods"
"passed","Mon May 13 15:54:31 GMT 2024","Mon May 13 15:54:41 GMT 2024","10057","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
