"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 13:15:39 GMT 2024","Mon May 27 13:15:42 GMT 2024","3531","","","","LoginTests","LoginWithShortPassword","LoginWithShortPassword","Check the error message if password is less than 5 characters"
"passed","Mon May 27 13:15:44 GMT 2024","Mon May 27 13:15:54 GMT 2024","9059","","","","ProjectTests","DeleteAddedProject","DeleteAddedProject","Verifying an added project has been deleted"
"passed","Mon May 27 13:15:39 GMT 2024","Mon May 27 13:15:42 GMT 2024","3565","","","","LoginTests","LoginWithWrongUserNameAndPassword","LoginWithWrongUserNameAndPassword","Check the error messages if username and password are incorrect"
"passed","Mon May 27 13:15:42 GMT 2024","Mon May 27 13:15:45 GMT 2024","2194","","","","CheckboxListTests","Checkbox_SelectByIndex","Checkbox_SelectByIndex","Check positive scenarios for 'Checkbox List' methods"
"passed","Mon May 27 13:15:42 GMT 2024","Mon May 27 13:15:47 GMT 2024","4551","","","","ProjectTests","AddProjectWithModel","AddProjectWithModel","Verifying a project with model data has been added"
"passed","Mon May 27 13:15:54 GMT 2024","Mon May 27 13:15:57 GMT 2024","3646","","","","HelperTests","DeleteAllMyProjects","DeleteAllMyProjects","Used to delete all my projects"
"broken","Mon May 27 13:15:42 GMT 2024","Mon May 27 13:15:44 GMT 2024","2117","","","","CheckboxListTests","Checkbox_Negative","Checkbox_Negative","Check the correct operation of 'if-else' structures in 'Checkbox List' methods"
"passed","Mon May 27 13:15:39 GMT 2024","Mon May 27 13:15:42 GMT 2024","3534","","","","LoginTests","LoginWithoutUserNameAndPassword","LoginWithoutUserNameAndPassword","Check the error messages if username and password are not entered"
"passed","Mon May 27 13:15:39 GMT 2024","Mon May 27 13:15:43 GMT 2024","4265","","","","LoginTests","PositiveLogin","PositiveLogin","Check login with the correct username and password"
"passed","Mon May 27 13:15:43 GMT 2024","Mon May 27 13:15:47 GMT 2024","4053","","","","ProjectTests","AddProjectWithNameAndType","AddProjectWithNameAndType","Verifying a project with name and type has been added"
